Packet number,Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
3,-0.161602442,0.120174074,9.596757853
5,-0.122628451,0.315637789,9.425655337
6,-0.178777062,0.330180484,9.445955241
8,0.016043446,0.038758584,9.528445426
9,0.141715757,-0.162492258,9.756854178
11,0.094701384,-0.208684079,9.867626779
12,-0.09377855,0.126910842,9.616551972
14,-0.204955477,0.198112832,9.469128125
15,-0.070380393,0.081215477,9.532955848
17,0.047233695,-0.21924024,9.788417442
18,0.085304875,-0.322752145,9.699910295
20,0.0219365,0.010842615,9.718728928
21,-0.045643635,0.090066032,9.553669005
23,-0.075021162,0.206444314,9.644006247
24,0.048585383,-0.033574263,9.732519657
26,0.036604515,-0.114658341,9.742936467
27,0.060567299,0.010337786,9.660657069
29,0.017413544,0.097962308,9.535311676
30,-0.086637677,0.0725138,9.628619707
32,0.012566164,-0.0279836,9.617187644
33,0.031955417,-0.051754077,9.749869708
35,0.068730006,-0.15103303,9.680596843
36,-0.03563953,0.088521871,9.708076036
38,-0.075969029,0.010103666,9.621793944
39,-0.013879277,0.001805026,9.736607949
41,-0.030778344,-0.074656157,9.728064519
42,-5.41E-04,-0.031905003,9.655729743
44,0.047658477,0.102795117,9.613039871
45,0.147770909,0.107271622,9.555510265
47,-0.020624309,0.054238817,9.66525411
48,0.036085882,0.028963991,9.758881842
50,0.004723243,-0.018358185,9.714948091
51,0.047719975,-1.97E-04,9.658969717
53,0.024954407,-0.015864639,9.676383709
54,0.089147088,0.013254301,9.641045447
56,0.05392952,-0.068093477,9.728200905
57,0.080772315,-0.122902217,9.64468173
59,0.043480854,0.054572431,9.722925413
60,0.058608884,-0.039501748,9.654212294
62,0.062607458,0.058369265,9.665314159
63,0.025796841,-0.01264406,9.67638655
65,0.021428454,0.052494113,9.645180364
66,0.004978764,0.076252326,9.647802381
68,0.044797756,0.074739799,9.58968105
69,0.049230397,0.178704392,9.717031274
71,0.078919283,0.317121824,9.636726007
72,-0.046718122,0.282724357,9.671482671
74,0.07055382,0.282805017,9.613447988
75,0.101467519,0.490640391,9.772735875
77,0.132250015,0.362845598,9.73967705
78,0.053070299,0.369328731,9.644557523
80,0.062042179,0.430787682,9.593951861
81,0.163983695,0.358692625,9.489398476
83,0.072655438,0.466815923,9.733783943
84,0.161361977,0.329021765,9.69892187
86,0.027016421,0.260181655,9.691232155
87,0.16021392,0.328370952,9.680013364
89,0.078145894,0.302353109,9.715800082
90,0.106780333,0.450414017,9.714266162
92,0.081623595,0.214781565,9.725799404
93,0.113768026,0.383145077,9.726469196
95,0.057654547,0.108291145,9.655686028
96,0.090399608,0.365570985,9.743857448
98,0.061062911,0.221601234,9.669355366
100,0.033594421,0.28228726,9.696004885
102,0.006054527,0.234212023,9.632966144
103,0.112507639,0.352213296,9.762587543
105,0.13480898,0.2824529,9.638650747
106,0.087851488,0.324105525,9.682751818
108,0.062270723,0.290835512,9.659919451
109,0.049366595,0.226015414,9.710416746
111,0.09908488,0.265926817,9.754113118
112,0.039886377,0.08573467,9.713467219
114,0.141135714,0.180839551,9.705645064
115,0.048726659,0.133385289,9.622823669
117,0.095979893,0.25039639,9.694931206
118,0.021541434,0.098266373,9.618940827
120,0.018897409,0.259740359,9.735168892
